object_number,record_type,number_of_parts,object_category,object_name,title,description,material.part,condition.part,creator,creator.qualifier,creator.role,production.place,production.period,production.date.start,production.date.start.prec,production.date.end,production.date.end.prec,part_of_reference,parts_reference,current_location
2.251.9,single object,1,"Cooking, Dining and Drinking",Plate,,"A cream ceramic oval plate for a gravy boat. Decorated in green, red and brown in a geometric shape, flower and bird pattern with bamboo and blossoms in the centre. No maker's mark.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.11,single object,1,"Cooking, Dining and Drinking",Plate,,"An oval cream ceramic serving plate with shell legs and moulded channels on the surface which meet in a bowl at one end. Decorated in brown, green and red with a geometric shapes, flowers and birds pattern, and bamboo and blossoms in the centre. On the reverse of the dish is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.12,single object,1,"Cooking, Dining and Drinking",Plate,,"An oval cream ceramic serving plate decorated in brown, green and red with a geometric shapes, flowers and birds pattern and bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.13,single object,1,"Cooking, Dining and Drinking",Plate,,"A cream oval ceramic serving plate decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.14,single object,1,"Cooking, Dining and Drinking",Plate,,"An oval cream ceramic serving plate decorated in brown, green and red with a geometric shapes, flowers and birds pattern and bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.15,single object,1,"Cooking, Dining and Drinking",Plate,,"An oval cream ceramic serving plate with shell legs and moulded channels on the surface which meet in a bowl at one end. Decorated in brown, green and red with a geometric shapes, flowers and birds pattern and bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.16,single object,1,"Cooking, Dining and Drinking",Dinner-service,,"A cream round ceramic plate decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.17,single object,1,"Cooking, Dining and Drinking",Plate,,"A cream round ceramic plate decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.18,single object,1,"Cooking, Dining and Drinking",Plate,,"A cream round ceramic plate decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.19,single object,1,"Cooking, Dining and Drinking",Plate,,"A cream round ceramic plate decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.20,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic plate with cream ground decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.21,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.22,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.23,single object,1,"Cooking, Dining and Drinking",Plate,,"A cream round ceramic plate decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.24,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.25,single object,1,"Cooking, Dining and Drinking",Plate,,"A cream round ceramic plate decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.27,single object,1,"Cooking, Dining and Drinking",Plate,,"A cream round ceramic plate decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.28,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.29,single object,1,"Cooking, Dining and Drinking",Plate,,"A cream round ceramic plate decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse of the plate is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Gloucester,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.30,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.32,single object,1,"Cooking, Dining and Drinking",Bowl,,"A ceramic bowl in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.33,single object,1,"Cooking, Dining and Drinking",Bowl,,"A ceramic bowl in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.34,single object,1,"Cooking, Dining and Drinking",Bowl,,"A ceramic bowl in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.35,single object,1,"Cooking, Dining and Drinking",Bowl,,"A ceramic bowl in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.36,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic side plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.37,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic side plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.38,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic side plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.39,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic side plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.40,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic side plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.41,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic side plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.42,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic side plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.43,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic side plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.44,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic side plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.45,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic side plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.251.46,single object,1,"Cooking, Dining and Drinking",Plate,,"A round ceramic side plate in cream decorated in brown, green and red in geometric shapes, flowers and birds with bamboo and blossoms in the centre. On the reverse is the maker's mark ""GORDON B. BROS"" stamped in green.",,,Gordon B. Bros,,,Glasgow,20th century,1900,,1999,,2.251,,Hill House / Kitchen
2.252.1,single object,2,"Cooking, Dining and Drinking",Canister,,"One of a set of nine canisters. A cylindrical metal canister with lid. The lid and body are both blue on the outside and white on inside. The lid is domed with a black finial. The canister has a green paper label on the front which reads ""MOIST SUGAR"" in yellow text.",Canister,,,,,,,,,,,2.252,,Hill House / Kitchen
2.252.2,single object,2,"Cooking, Dining and Drinking",Canister,,"One of a set of nine canisters. A cylindrical metal canister with lid. The lid and body are both blue on the outside and white on the inside. The lid is domed with a black finial. The canister has a green paper label on the front which reads ""RAISINS"" in yellow text.",Canister,,,,,,,,,,,2.252,,Hill House / Kitchen
2.252.3,single object,2,"Cooking, Dining and Drinking",Canister,,"One of a set of nine canisters. A cylindrical metal canister with lid. The lid and body are both blue and white on the inside. The lid is domed with a black finial. The canister has a green paper label on the front which reads ""CANDIED PEEL"" in yellow text.",Canister,,,,,,,,,,,2.252,,Hill House / Kitchen
2.252.4,single object,2,"Cooking, Dining and Drinking",Canister,,"One of a set of nine canisters. A cylindrical metal canister with lid. The lid and body are both blue on the outside and white on the inside. The lid is domed with a black finial. The canister has a green paper label on the front which reads ""CORNFLOUR"" in yellow text.",Canister,,,,,,,,,,,2.252,,Hill House / Kitchen
2.252.5,single object,2,"Cooking, Dining and Drinking",Canister,,"One of a set of nine canisters. A cylindrical metal canister with lid. The lid and body are both blue on the outside and white on the inside. The lid is domed with a black finial. The canister has a green paper label on the front which reads ""TEA"" in yellow text.",Cannister,,,,,,,,,,,2.252,,Hill House / Kitchen
2.252.6,single object,1,"Cooking, Dining and Drinking",Canister,,"One of a set of nine canisters. A cylindrical metal canister with lid. The lid and body are both blue on the outside and white on the inside. The lid is domed with a black finial. The canister has a green paper label on the front which reads ""CURRANTS"" in yellow text.",Cannister,,,,,,,,,,,2.252,,Hill House / Kitchen
2.252.7,single object,2,"Cooking, Dining and Drinking",Canister,,"One of a set of nine canisters. A cylindrical metal canister with lid. The lid and body are both blue on the outside and white on the inside. The lid is domed with a black finial. The canister has a green paper label on the front which reads ""GROUND RICE"" in yellow text.",Cannister,,,,,,,,,,,2.252,,Hill House / Kitchen
2.252.8,single object,2,"Cooking, Dining and Drinking",Canister,,"One of a set of nine canisters. A cylindrical metal canister with lid. The lid and body are both blue on the inside and white on the inside. The lid is domed with a black finial. The canister has a green paper label on the front which reads ""COFFEE"" in yellow text.",Cannister,,,,,,,,,,,2.252,,Hill House / Kitchen
2.252.9,single object,2,"Cooking, Dining and Drinking",Canister,,"One of a set of nine canisters. A cylindrical metal canister with lid. The lid and body are both blue on the outside and white on the inside. The lid is domed with a black finial. The canister has a green paper label on the front which reads ""TAPIOCA"" in yellow text.",Cannister,,,,,,,,,,,2.252,,Hill House / Kitchen
2.253.1,set,2,"Cooking, Dining and Drinking",Storage Jar,,"One of a set of four storage jars. A white cylindrical ceramic storage jar with curved edges and a round green painted wooden lid. On the front of the jar the word ""TEA"" is painted in blue. On the bottom of the jar the word ""Foreign"" is stamped in green.",Jar,,,,,,Early 20th century,1900,,1929,,2.253,,Hill House / Kitchen
2.253.2,set,2,"Cooking, Dining and Drinking",Storage Jar,,"One of a set of four storage jars. A white cylindrical ceramic storage jar with curved edges and a round green painted wooden lid. On the front of the jar the word ""RICE"" is painted in blue. On the bottom of the jar the word ""Foreign"" is stamped in green.",Jar,,,,,,Early 20th century,1900,,1929,,2.253,,Hill House / Kitchen
2.253.3,set,2,"Cooking, Dining and Drinking",Storage Jar,,"One of a set of four storage jars. A white cylindrical ceramic storage jar with curved edges and a round green painted wooden lid. On the bottom of the jar the word ""Foreign"" is stamped in green.",Jar,,,,,,Early 20th century,1900,,1929,,2.253,,Hill House / Kitchen
2.253.4,set,2,"Cooking, Dining and Drinking",Storage Jar,,"One of a set of four storage jars. A white cylindrical ceramic storage jar with curved edges and a round green painted wooden lid. On the bottom of the jar the word ""Foreign"" is stamped in green.",Jar,,,,,,Early 20th century,1900,,1929,,2.253,,Hill House / Kitchen
2.254,single object,2,"Cooking, Dining and Drinking",Pie Dish,,"An earthernware pie dish with lid. The dish is oval with a raised rim, and the body has a relief decoration with a hunt scene and dead grouse. The bottom of the dish is stamped with ""STP Rd No 160288"". The lid is oval and has a handle in the shape of a grouse sitting in a nest. The edges of the lid are decorated with branches and leaves. The stamped maker's mark on the lid represents a boat and ""Copeland Late Spode 160288"".",,,Copeland Spode,,Manufacturer,,19th century,1800,,1899,,,,Hill House / Butler's Pantry
2.255.1,single object,2,"Cooking, Dining and Drinking",Storage Jar,,"One of a set of seven storage jars. A round porcelain storage jar with a lid. The jar is cream in colour and the lid has an inverted curve with a round flat finial. On the reverse of the lid is an advert for ""The Grimwade Patent Quick Cooker Bowl"" stamped in green. The body of the jar has a ribbed effect and has the word ""Salt"" stamped in green. On the bottom of the jar the makers mark is stamped in green, the mark is a circle, on the outside of the circle are the words ""Grimwade"" and ""Best English Semi-Porcelain"" and on the inside of the circle is ""Hooped Household Jar Supplied in 7 sizes 4 1/2 inch to 101/2 inch Sago, Rice, Tapioca, Raisins, Currants, Flour, Meal, Salt, Sugar, Peas, Oatmeal, Barley, Sultanas & Lentils.""",,,Grimwade,,,Stoke-on-Trent,,,,,,2.255,,Hill House / Kitchen
2.255.2,single object,2,"Cooking, Dining and Drinking",Storage Jar,,"One of a set of seven storage jars. A round porcelain storage jar in cream. The jar has a lid with an inverted curve and a round flat finial. There is a ribbed affect on the jar and the word ""Sago"" stamped in green.",,,Grimwade,,,Stoke-on-Trent,,,,,,2.255,,Hill House / Kitchen
2.255.3,single object,2,"Cooking, Dining and Drinking",Storage Jar,,"One of a set of seven storage jars. A round porcelain storage jar in cream. The jar has a lid with an inverted curve and a round flat finial. There is a ribbed effect on the jar and the word ""Flour"" stamped in black.  On the bottom of the jar the makers mark is stamped in black, the mark is a circle, on the outside of the circle are the words ""Grimwade"" and ""Best English Semi-Porcelain"" and on the inside of the circle is ""Hooped Household Jar Supplied in 7 sizes 4 1/2 inch to 101/2 inch Sago, Rice, Tapioca, Raisins, Currants, Flour, Meal, Salt, Sugar, Peas, Oatmeal, Barley, Sultanas & Lentils.""",,,Grimwade,,,Stoke-on-Trent,,,,,,2.255,,Hill House / Kitchen
2.255.4,single object,1,"Cooking, Dining and Drinking",Storage Jar,,"One of a set of seven storage jars. A round porcelain storage jar in cream. There is a ribbed effect on the jar and the word ""Sugar"" stamped in black.  On the bottom of the jar is a stamp in black for an advert for the ""Grimwade Quick Cooker Bowl"" and a ""Made in England"" stamp in green.",,,Grimwade,,,Stoke-on-Trent,,,,,,2.255,,Hill House / Kitchen
2.255.5,single object,2,"Cooking, Dining and Drinking",Storage Jar,,"One of a set of seven storage jars. A round porcelain storage jar with lid. The jar is cream in colour and the lid has an inverted curve with a round flat finial. On the reverse of the lid is an advert for ""The Grimwade Patent Quick Cooker Bowl"" stamped in green. The body of the jar has a ribbed effect and has the word ""Barley"" stamped in green. On the bottom of the jar the makers mark is stamped in green, the mark is a circle, on the outside of the circle are the words ""Grimwade"" and ""Best English Semi-Porcelain"" and on the inside of the circle is ""Hooped Household Jar Supplied in 7 sizes 4 1/2 inch to 101/2 inch Sago, Rice, Tapioca, Raisins, Currants, Flour, Meal, Salt, Sugar, Peas, Oatmeal, Barley, Sultanas & Lentils.""",,,Grimwade,,,Stoke-on-Trent,,,,,,2.255,,Hill House / Kitchen
2.255.6,single object,2,"Cooking, Dining and Drinking",Storage Jar,,"One of a set of seven storage jars. A round porcelain storage jar with lid. The jar is cream in colour and the lid has an inverted curve with a round flat finial. On the reverse of the lid is an advert for ""The Grimwade Patent Quick Cooker Bowl"" stamped in green. The body of the jar has a ribbed effect and has the word ""Sugar"" stamped in green.",,,Grimwade,,,Stoke-on-Trent,,,,,,2.255,,Hill House / Kitchen
2.255.7,single object,1,"Cooking, Dining and Drinking",Storage Jar,,"One of a set of seven storage jars. A round porcelain storage jar in cream. There is a ribbed effect on the jar and the word ""Rice"" stamped in green.",,,Grimwade,,,Stoke-on-Trent,,,,,,2.255,,Hill House / Kitchen
2.256,single object,1,"Cooking, Dining and Drinking",Jar,,"A ceramic cylindrical butter jar with a raised lip and the word ""BUTTER"" stamped in black on the front.",,,,,,,Early 20th century,1900,,1929,,,,Hill House / Kitchen / Cupboard 2017.4034
2.257,single object,1,"Cooking, Dining and Drinking",Jar,,"A cream ceramic storage jar with a brimmed lip and scored vertical lines as decoration. On the bottom is stamped ""NOT GENUINE UNLESS BARIG WM P. HARTLEY'S LABEL.""",,,Hartley,,Manufacturer,,Early 20th century,1900,,1929,,,,Hill House / Kitchen / Cupboard 2017.4034
2.258.1,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic salad plate, decorated all over in blue with two storks and butterflies with acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.2,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic salad plate, decorated all over in blue with two storks and butterflies with acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.3,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic salad plate, decorated all over in blue with two storks, butterflies and acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.4,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic salad plate, decorated all over in blue with two storks, butterflies and acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.5,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic salad plate, decorated all over in blue with two storks, butterflies and acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.6,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic salad plate, decorated all over in blue with two storks, butterflies and acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.7,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic salad plate, decorated all over in blue with two storks, butterflies and acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.8,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic salad plate, decorated all over in blue with two storks, butterflies and acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.9,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic salad plate, decorated all over in blue with two storks, butterflies and acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.10,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic salad plate, decorated all over in blue with two storks, butterflies and acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.11,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic salad plate, decorated all over in blue with two storks, butterflies and acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.12,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic salad plate, decorated all over in blue with two storks, butterflies and acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.13,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic side plate with slightly scalloped edge, decorated all over in blue with two storks and butterflies with acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.14,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic side plate with slightly scalloped edge, decorated all over in blue with two storks and butterflies with acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.15,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic side plate with slightly scalloped edge, decorated all over in blue with two storks and butterflies with acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.16,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic side plate with slightly scalloped edge, decorated all over in blue with two storks and butterflies with acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.17,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic side plate with slightly scalloped edge, decorated all over in blue with two storks and butterflies with acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.18,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic side plate with slightly scalloped edge, decorated all over in blue with two storks and butterflies with acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.19,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic side plate with slightly scalloped edge, decorated all over in blue with two storks and butterflies with acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.20,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic side plate with slightly scalloped edge, decorated all over in blue with two storks and butterflies with acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
2.258.21,single object,1,"Cooking, Dining and Drinking",Plate,,"Cream ceramic side plate with slightly scalloped edge, decorated all over in blue with two storks and butterflies with acanthus and honeysuckle foliage. On the reverse the letter ""H"" and ""Wedgwood"" is stamped.",,,Wedgwood,,Manufacturer,,Late 19th century,1870,,1899,,2.258,,Hill House / Flower Pantry / Cupboard 2017.4032.2
